id,lat,lon,height,name,state
1963,54.5742,8.5133,4,Hallig Hooge,Schleswig-Holstein
1964,49.9445,6.3821,328,Olsdorf,Rheinland-Pfalz
1972,53.4793,10.2415,35,Hamburg-Bergedorf,Hamburg
1973,53.5598,9.9874,14,Hamburg-Botanischer Garten,Hamburg
1975,53.6332,9.9881,11,Hamburg-Fuhlsbüttel,Hamburg
1979,53.4213,10.1462,2,Hamburg-Kirchwerder,Hamburg
1981,53.4777,9.8957,3,Hamburg-Neuwiedenthal,Hamburg
1986,53.4699,10.1804,1,Hamburg-Reitbrook,Hamburg
1987,53.5467,9.9662,47,Hamburg-Sankt Pauli,Hamburg
1990,53.5853,10.1293,18,Hamburg-Wandsbek,Hamburg
1993,52.0848,9.3896,68,Hameln,Niedersachsen
2000,50.1205,8.9243,106,Hanau,Hessen
2005,52.7199,10.5987,108,Hankensbüttel,Niedersachsen
2014,52.4644,9.6779,55,Hannover,Niedersachsen
2023,48.7918,10.7062,502,Harburg,Bayern
2039,51.9,10.5701,201,"Harzburg, Bad",Niedersachsen
2044,51.652,11.1367,404,Harzgerode,Sachsen-Anhalt
2048,53.6342,9.6038,3,Haseldorf,Schleswig-Holstein
2053,51.6868,10.8631,461,Hasselfelde,Sachsen-Anhalt
2055,50.0493,10.4947,292,Haßfurt,Bayern
2069,48.8629,13.067,648,Hausstein,Bayern
2074,48.3751,8.9801,522,Hechingen,Baden-Württemberg
2078,54.2181,9.0853,10,Weddingstedt,Schleswig-Holstein
2080,49.4206,8.6676,110,Heidelberg,Baden-Württemberg
2081,49.3981,8.7251,561,Königstuhl,Baden-Württemberg
2083,49.4192,8.6051,110,Heidelberg-Grenzhof,Baden-Württemberg
2088,48.6765,10.1307,498,Heidenheim/Brenz,Baden-Württemberg
2092,50.1691,7.9949,496,Heidenrod-Mappershain,Hessen
2093,53.8562,9.8227,30,Heidmoor,Schleswig-Holstein
2095,49.1448,9.2333,167,Heilbronn,Baden-Württemberg
2110,51.0411,6.1042,57,Heinsberg-Schleiden,Nordrhein-Westfalen
2115,54.175,7.892,4,Helgoland,Schleswig-Holstein
2120,52.2164,11.0219,140,Helmstedt,Niedersachsen
2122,53.9701,9.0095,2,"Helse, Kr. Dithmarschen",Schleswig-Holstein
2147,52.1264,8.6865,77,Herford,Nordrhein-Westfalen
2151,51.0048,10.1705,215,Herleshausen,Hessen
2159,48.5915,8.8541,430,Herrenberg,Baden-Württemberg
2160,50.8444,10.6904,360,Herrenhof,Thüringen
2166,51.0167,14.75,344,Herrnhut,Sachsen
2167,49.7672,7.3356,302,Niederwörresbach,Rheinland-Pfalz
2171,50.8519,9.7378,272,"Hersfeld, Bad",Hessen
2173,51.589,7.1548,60,Herten,Nordrhein-Westfalen
2174,51.6255,10.3695,238,Herzberg,Niedersachsen
2187,49.9281,9.287,287,Hessenthal,Bayern
2201,54.575,13.1044,1,Hiddensee-Vitte,Mecklenburg-Vorpommern
2206,52.1408,9.8838,117,Hildesheim,Niedersachsen
2207,52.1833,9.95,91,Hildesheim (Flugplatz),Niedersachsen
2211,50.7371,7.6528,295,Hilgenroth,Rheinland-Pfalz
2223,50.3674,10.5687,300,Hindfeld,Thüringen
